review_title,hotel_name,avg_rating,nationality,rating,review_text,year,month,season,residence_type,trip_type,traveller_type,stay_length,label
Very good,b room,9.3,Netherlands,8.0,breakfast was the best:),2020,January,Winter,other,leisure trip,couple,2,1
Pleasant,Van der Valk Hotel Brussels Airport,8.1,France,6.3,"Everything seemed a bit ‘used’...,

Bed was very good",2019,April,Spring,twin,business trip,solo traveller,1,0
Exceptional,ROXI The Urban Residence Brussels,8.0,Croatia,10.0,"The staff is extremely friendly and helpful. Unfortunately I do not have the name of the lady from the check-in, she was really great, but Alejandro from check-out did also a fantastic job. I can truely reccomend this place.",2020,January,Winter,single,business trip,solo traveller,2,1
Very good,Hotel Old Tom,7.5,United Kingdom,8.0,"Really tired rooms, but acceptable for the price we paid. No air conditioning. ,

The rooms are all very tired and small and in dire need of updating. That said, the location is incredible and the staff are brilliant. Parking is right in front of the building and free for motorcycles; it’s not secure, but good enough.",2020,September,Autumn,double,leisure trip,people with friends,2,1
Nice place to stay in the Bruges center,Hotel Koffieboontje,7.5,Czech Republic,8.8,There are no comments available for this review,2019,February,Winter,double,leisure trip,group,1,1
Fabulous,Hotel Le Châtelain,8.9,Netherlands,8.8,There are no comments available for this review,2019,September,Autumn,double,leisure trip,couple,2,1
Good,Aloft Brussels Schuman,8.8,United Kingdom,7.5,There are no comments available for this review,2018,October,Autumn,other,leisure trip,people with friends,2,1
Good,Jam Hotel,8.0,United Kingdom,7.5,There are no comments available for this review,2019,August,Summer,double,business trip,solo traveller,1,1
Good,Hotel Koffieboontje,7.5,South Africa,7.9,There are no comments available for this review,2019,April,Spring,double,leisure trip,people with friends,1,1
Excellent hotel charmant,Hotel Montana,8.1,Belgium,8.0,La gentilesse du personnel,2021,June,Summer,double,leisure trip,couple,2,1
Superb,Hotel Le Châtelain,8.9,Lebanon,9.2,There are no comments available for this review,2019,July,Summer,double,business trip,solo traveller,5,1
Great value!,"Hotel Indigo Antwerp City Centre, an IHG Hotel",8.7,Netherlands,10.0,"Great hotel with even better staff. Really helpful, friendly and considerate. Definitely recommend.",2019,August,Summer,other,leisure trip,couple,1,1
Very good,Motel One Brussels,8.9,United Kingdom,8.0,There are no comments available for this review,2020,January,Winter,double,business trip,solo traveller,1,1
Fabulous,Theater Hotel,8.4,United Kingdom,8.8,Separate toilet from bathroom,2018,November,Autumn,twin,leisure trip,group,3,1
Superb,Tempor'area Apartment,9.7,China,9.2,"My head hit the bar several times in the penthouse.,

The room for young artist",2019,November,Autumn,apartment,business trip,people with friends,2,1
Good,Ibis Brussels Erasmus,7.8,Chile,7.5,There are no comments available for this review,2018,November,Autumn,double,leisure trip,couple,1,1
Fabulous,Sputnik Hotel,8.3,Belarus,8.8,Noise level,2018,September,Autumn,double,leisure trip,couple,1,1
Fabulous,Golden Tree Hotel,8.2,Czech Republic,8.8,There are no comments available for this review,2019,December,Winter,double,leisure trip,couple,1,1
Fabulous,Hotel Monsieur Ernest,8.6,New Zealand,8.8,"Very thin walls so could hear other guests in the night. ,

Amazing decor and fantastic location. The staff were extremely helpful and pleasant. Couldn’t have asked for a better level of service. Good selection of breakfast foods.",2019,April,Spring,double,leisure trip,solo traveller,2,1
"Good for the purpose of the business trip, accomodation and communication services could be better.",Smartflats City - Royal,7.6,Bulgaria,7.1,"Inadequate and very slow and poor coordination from the host agency.,

Top location.",2019,October,Autumn,apartment,business trip,group,3,1
Fabulous,Hygge Hotel,8.6,Croatia,8.8,There are no comments available for this review,2019,May,Spring,twin,business trip,group,2,1
"I felt well catered for, so I could relax and enjoy my business trip.",Rooms & Apartments Housingbrussels,9.0,United Kingdom,10.0,"Excellent service.,

I loved my apartment. It felt homely with a well-considered decor. I share the same taste with the designer. Down to the selection of art work. I really liked the privacy of the apartment and the collective breakfast experience. It is a win/win situation. I loved the garden space also. The idea of having snacks and fruits available is a good one, as I did not have to worry about buying snacks. Great hospitality on the front desk. This will be my home away from home, the next time I visit Brussel. Also great value for money- which is always a bonus.",2018,October,Autumn,double,business trip,solo traveller,3,1
"A wonderful location, but did not live up to expectations.",Hotel Eden Ardenne,7.8,United Kingdom,5.8,"The dinner in the restaurant was very disappointing. Only one of the vegetarian options was available. The advertised price for dinner for those staying in the restaurant had gone up and was a single fixed menu which did not appeal to us, so we ate a la carte. We were twice presented with an incorrect bill - incorrect as to what we had and as to price. We eventually managed to get it right but this caused confusion for our final bill when checking out. The price I had been quoted for our upgraded room was exceeded in the final bill and the receptionist refused to change it.There is no bar in the hotel except during the limited hours that the restaurant is open. You can buy cold drinks at reception, but coming back on a very wet afternoon there was no possibility of obtaining a hot drink which I think there should have been. Do as we did and take a travel kettle and supplies.Cleanliness: In the breakfast area of the dining room there was a pedal bin which had not been emptied for at least two days and which had fruit flies multiplying inside it.Safety: the wooden flooring of the balcony was extremely slippery when wet as it had not been cleared of algae.This could, and should be a lovely hotel, but these things spoiled it.,

Location beside the lake was wonderful. We upgraded to a room with balcony which I would advise.",2019,July,Summer,double,leisure trip,couple,3,0
Good,Jacques Brel Youth Hostel,8.0,Hungary,7.9,"We haven’t recieved sheet for the blankets, but two simple bed-sheets. A lot of noisy groups,

Good breakfast, nice staff, well locatedWould recommend",2018,October,Autumn,twin,leisure trip,group,1,1
10/10 Chapeau!,Novotel Brussels City Centre,8.5,Romania,9.0,"Everything was exceptional.
The staff was extremely helpful and friendly, both over the phone and at the hotel. 
The location is perfect- right in the city centre, next to shops, tourist attractions, bars, restaurants, you name it.
The check in was easy and they allowed an early check in and late check out, free of charge. 
The room was nice, we were provided with slippers and robes once we requested them, and received a bottle of water daily, free of charge.
Since I spent my birthday there, the staff was kind enough to provide us with a room with an exceptional view on the top floor.
Chapeau, Novotel!",2021,July,Summer,double,leisure trip,couple,3,1
Good,NH Brussels Carrefour de L’Europe,7.8,Canada,7.5,"We had to pay for breakfast. First time in 3 weeks!  We stayed in 6 other hotels and thought our breakfast was included.,

Location, bathroom, size of room, staff in breakfast  room",2018,September,Autumn,double,leisure trip,couple,2,1
Brussels 2020,nhow Brussels Bloom,8.3,United Kingdom,9.0,"When we stayed they had construction going on on the floor above is so every morning we were woke up around 7:30 with loud banging 
,

Location not to bad. Around 15 min walk to Grand Place.
Great breakfast! Lovely staff, great chill out bar, massive room with very comfortable bed.",2020,March,Spring,double,leisure trip,couple,3,1
Pleasant,Antwerp Harbour Hotel,7.6,Netherlands,6.7,"Few sockets in a room,

The breakfast was delicious",2019,May,Spring,twin,business trip,solo traveller,2,0
Very good,Flandria Hotel,7.6,Spain,8.0,Nice place to stay in the centre area,2018,December,Winter,triple,leisure trip,group,2,1
Poor,Hotel Minsk,8.6,Malaysia,3.0,There are no comments available for this review,2021,July,Summer,double,leisure trip,solo traveller,2,0
A very nice first stay in your beautiful city.,ibis Gent Centrum St. Baafs Kathedraal,8.2,United Kingdom,10.0,"The location of the hotel was excellent, if a little difficult to pick up and set down a larger party of guests. my room was quiet as requested and the reception and bar staff were most pleasant and very helpful. the breakfast was really very good and set us up for the rest of the day.",2019,August,Summer,double,leisure trip,solo traveller,4,1
Ok for a nights stay,Hotel Class'Eco Namur,6.6,United Kingdom,7.5,"We drove through the town looking for the hotel and found it a nightmare it was so busy, but if we had more time it would have been nice to look round,

Once we actually found it we were comfortable for just one night, plus there is now a supermarket over the road,",2019,October,Autumn,double,leisure trip,couple,1,1
Pleasant,Hotel 't Putje,8.0,Turkey,6.0,the water in the shower was cold when the only thing i wanted to take a good bath and sleep. Also the bed was too soft that it was hard to move.,2020,January,Winter,double,leisure trip,couple,1,0
Disappointing,Renaissance Brussels Hotel,8.2,France,4.2,There are no comments available for this review,2019,October,Autumn,other,business trip,people with friends,1,0
Good,NH Brussels EU Berlaymont,8.5,China,7.1,"Room windows are thin, so could hear road construction noise through.
Breakfast has very limited options. On a table was a card sign 'to order fresh egg option, sausages etc', but when asking for it the waitress said to fetch sausages and bacon from the buffet, also chef made a 'poached egg', which was just messed up strings of egg white and hard boiled egg yolk... So please stick to the buffet. ,

Lovely staff, especially a Reception Trainee man (guess French/Belgian one).
Lovely touch to have a complimentary mini bar with water/juice/coke and nespresso coffee. 
Good, soft bed. Clean crispy bedsheets. 
Good location next to metro station.",2019,June,Summer,double,business trip,solo traveller,3,1
Good,Novotel Brussels City Centre,8.5,United States,7.1,There are no comments available for this review,2019,October,Autumn,double,business trip,solo traveller,2,1
Superb,Avenue Beach Hotel,8.1,Netherlands,9.2,"Nothing,

Clean, nice staff, great location",2019,October,Autumn,double,leisure trip,couple,1,1
Fantastic stay. Highly recommended. Will return the next time we visit Bruges!,B&B Exclusive Guesthouse Bonifacius,9.7,United Kingdom,10.0,The staff were very friendly. The food was fantastic. The rooms were comfy and clean.,2020,March,Spring,suite,leisure trip,couple,2,1
Superb,Alliance Hotel Ieper Centrum,7.5,United Kingdom,9.2,"Parking a bit iffy but expected for the location,

Location spot on",2019,November,Autumn,triple,leisure trip,people with friends,1,1
Exceptional,Art de Sejour - B&B,9.8,United States,10.0,"Overall, really amazing property.,

Awesome place and owner was very accommodating due to arriving a little later and leaving super early. The room was spectacular and we appreciated the owner sitting down with us to give highlights of the city. The to-go breakfast was a really nice touch due to us having to arrive at airport by 7:30 AM.",2019,June,Summer,other,leisure trip,couple,1,1
It was worthwhile to make the trip.,Hotel Lido,8.1,Belgium,8.3,"This is personel but I did not sleep well on the boxspring. I do prefer a latex matress.,

friendly and relax staff. Location is extremly close to the sea.",2019,March,Spring,double,leisure trip,couple,2,1
"OK, but can be better.",ibis Gent Centrum St. Baafs Kathedraal,8.2,Greece,7.5,"Room is rather small, heating only through A/C unit, rather not enough for December's cold. No closet in the room, only a fixed partition, which is not enough.,

Location is great and staff is helpful. Breakfast is very good.",2018,December,Winter,double,business trip,solo traveller,3,1
Superb,B&B Kamerijck,8.7,Belgium,9.0,There are no comments available for this review,2021,June,Summer,double,leisure trip,couple,1,1
Exceptional,Hygge Hotel,8.6,Switzerland,10.0,Everything was perfect,2018,August,Summer,twin,leisure trip,couple,2,1
Exceptional,ibis Liège Centre Opéra,7.7,Belgium,9.6,"The heating was on in the room and could not be turned off, so it was too warm in the room.,

Clean, comfortable room and friendly staff. Very good, central location.",2019,May,Spring,double,leisure trip,couple,1,1
A nice stay in this cozy hotel in Gent. Very friendly staff. Public transport across the street.,Hotel Castel,7.9,Netherlands,7.0,"- A bit ""noisy"", you can hear people walking on the hallway- Small breakfast- ""Small"" shower- If you cannot walk stairs: after the elevator you have to climb a few steps.- No parking in front of the hotel,

- Close to the Railway station- Very close to public transport (in front of the hotel)- Very friendly staff- Easy check in/check out- Big parking garage on 4min walk from hotel- Perfect for a short weekend- Small fridge in the hotelroom",2019,December,Winter,double,leisure trip,solo traveller,1,0
Superb,Theater Hotel,8.4,Romania,9.0,There are no comments available for this review,2020,July,Summer,double,leisure trip,couple,1,1
Good,Golden Tree Hotel,8.2,Netherlands,7.5,There are no comments available for this review,2019,November,Autumn,twin,leisure trip,couple,2,1
Disappointing,With a pretty view of the three most authentic towers,8.6,United Kingdom,4.6,There are no comments available for this review,2019,April,Spring,house,leisure trip,group,2,0
Good,Motel One Brussels,8.9,Portugal,7.5,"Bed linen was a joke, 2 individual blankets for a couples bed...
Our room was facing the street and we could hear the metro passing (it was okay for us anyway).
Staff on the check out were terrible. Not a smile or a “did you enjoy your stay?”. We asked if it was possible to leave our luggage and we got a “I’ll check if we can accommodate, but you also have lockers at the central station”, waited 5 min, never hear back from the lady. ,

Location is perfect, clean and nice to be around. Staff at the check in were amazing.",2020,February,Winter,other,leisure trip,couple,2,1
Good,D.Cristina Guest House,8.2,Lithuania,7.5,"Could'nt get invoice, only after asking for it 3rd  time i got invoice.",2019,April,Spring,single,business trip,solo traveller,2,1
Exceptional,Au Chat'rme des Blanches Pierres,9.4,Austria,9.6,"-,

really good breakfast, clean new rooms and very friendly people",2019,August,Summer,double,business trip,solo traveller,3,1
Good,Thon Hotel Brussels Airport,7.7,Romania,7.5,"Poor,

NATO HQ and Airport vicinity",2019,October,Autumn,double,business trip,couple,2,1
"Great staff and location.   Comfortable, stylish room.  Poor internet and no fitness facilities.",Hotel Les Nuits,8.4,United States,9.2,"Shower flooded the bathroom.  Never did get fixed.,

Good breakfast but expensive",2019,April,Spring,twin,business trip,solo traveller,2,1
Very good,Hotel Boterhuis,8.8,Luxembourg,8.0,"The bathroom was a bit narrow and the toilet placed in the main room, separated by a door that would not close properly, which is of course due to the architecture and age of the old building - which is beautiful and totally charming (we were looking for this style of hotel) but worth to keep in mind. Covid obliged to have breakfast in our room and we took it in bed because only 1 chair was available in the room... again, no issue for us but could be an issue for other people,

The staff was very friendly and helpful and the building beautifully renovated. Very charming. The location was perfect to explore Bruges",2021,May,Spring,double,leisure trip,couple,1,1
Good accomodation for a night in Brussels,Hotel Du Congres,8.0,Romania,7.9,"My room was newly renovated and the paint was still smelling. When I arrived, 9 o'clock in the evening, in the room was very cold and it warmed very slowly after I opened the heating, During the night, it was a little bit noisy because the window was to the boulevard.,

Well located near metro station Madou, good breakfast, very clean.",2019,March,Spring,single,leisure trip,solo traveller,1,1
Passable,NH Brussels EU Berlaymont,8.5,Spain,5.4,There are no comments available for this review,2019,March,Spring,double,leisure trip,couple,3,0
Fabulous,Hostel Bruegel,8.4,Turkey,8.8,There are no comments available for this review,2018,December,Winter,double,leisure trip,group,1,1
Superb,Studio 17,9.2,United Kingdom,9.2,There are no comments available for this review,2020,March,Spring,apartment,leisure trip,couple,1,1
Exceptional,"D#Flat, 1bd apartment with garden",9.0,United States,10.0,There are no comments available for this review,2019,June,Summer,apartment,leisure trip,solo traveller,2,1
Exceptional,B&B Aalsters genot,8.6,Romania,10.0,Clean and fresh room in lovely and quietly area.,2019,March,Spring,double,leisure trip,couple,1,1
Very good,L'Ecole,8.5,United States,8.3,There are no comments available for this review,2018,October,Autumn,loft,business trip,group,2,1
Very good,EU Guesthouse,8.9,United Kingdom,8.3,There are no comments available for this review,2018,September,Autumn,double,business trip,solo traveller,1,1
Exceptional,Hotel Bourgoensch Hof,8.4,Belgium,10.0,There are no comments available for this review,2020,October,Autumn,other,leisure trip,solo traveller,1,1
Fabulous,Hotel Monsieur Ernest,8.6,United Kingdom,8.8,There are no comments available for this review,2019,April,Spring,double,leisure trip,couple,2,1
Very good,Orbita Hotel,8.5,United Kingdom,8.0,"If on road side, the noise kept a few people awake,

Breakfast was ok. No real fruit juice though. Would like fruit salad too.But ok.",2020,January,Winter,single,business trip,group,4,1
Definitely staying here again when I return!,Aparthotel Adagio Access Bruxelles Europe Aparthotel,8.7,Netherlands,9.0,"No minibar,

The receptionists were fantastic. They let me check-out a few hours later than 11AM as I had an appointment at an Embassy of which I didn't know how long it'd take, so that was really kind.",2021,July,Summer,studio,leisure trip,solo traveller,1,1
Exceptional,B&B 't Oezent,9.5,France,10.0,The breakfast was excellent and the staff very friendly. We only stayed for one night after an exhaustive day but it was restful. The beds were comfy and the bathroom is well equipped.,2019,September,Autumn,quadruple,leisure trip,group,1,1
Exceptional,Value Stay Brussels Expo Hotel,7.4,Belgium,10.0,"Niks,

Super",2020,September,Autumn,twin,leisure trip,solo traveller,2,1
No.,Hotel Bourgoensch Hof,8.4,United Kingdom,8.0,There are no comments available for this review,2019,November,Autumn,other,leisure trip,couple,1,1
Superb,Warwick Brussels - Grand Place,8.2,Belgium,9.0,The Hotel's location in the city center makes it easy for transportation and shopping.,2021,May,Spring,double,leisure trip,group,1,1
"Excellent stay, would highly recommend it, perfect location, and the most fabulous room.",Guesthouse Vakantie Logies Hollywood,8.9,United Kingdom,10.0,"Nothing it was all perfect.,

Absolutely outstanding, loved having it bought to the room. Such a lovely touch. Plenty of choice and boiled eggs perfectly cooked. Set us up for the day.",2019,October,Autumn,double,leisure trip,couple,3,1
Lovingly designed and cared-for studios around a peaceful courtyard - incredibly comfortable place.,B&B Martijn Dewulf Ghent,9.0,United Kingdom,10.0,"One of those gems so rare it's tempting not to share. Beautifully designed place with friendly, interesting and discreet hosts. Wonderful stay.",2019,July,Summer,studio,business trip,solo traveller,1,1
Nice weekend getaway,Hotel Malon,7.6,Germany,8.3,"Stairs - narrow and steep. NO ELEVATOR! The October sun was soothing but the one in high summer can be harsh, with no air-conditioning.,

Very cordial staff. Big rooms with all basic amenities. Nice breakfast. Our 2nd floor room had a great view of the square. Very close to the Rail, Bus stations and all tourist attractions are walking distance. Lots of eating and drinking options in close vicinity.",2018,October,Autumn,twin,leisure trip,couple,1,1
Great place to stay between the European quarter and the heart of Brussels,Aparthotel Adagio Access Bruxelles Europe Aparthotel,8.7,Netherlands,8.3,"I simply don't get it that there is no person taking out the trash or changing the towels if you stay less than 7 days. When we wanted clean towels, we were helped kindly, but we had a lot of trash and it just piled up in the corner. The air conditioner switched itself off after a little while, so we woke up bathing in our own sweat...,

The employees were very helpful, patient and kind. The rooms were tidy and contained a small kitchen with a fridge and microwave. Very well equipped. So we could bring something to the hotel to eat. That was perfect. We could choose the floor we wanted to be on. The windows could be opened.",2019,June,Summer,studio,leisure trip,couple,4,1
Poor,Hotel Du Congres,8.0,United Kingdom,3.8,Very noisy and room was not confortable.,2019,March,Spring,single,business trip,solo traveller,1,0
Superb,B&B Duplex appartment in old mansion,9.1,Belgium,9.0,"Perhaps misses an oven but not very important.,

Excellent breakfast.",2020,November,Autumn,apartment,leisure trip,couple,2,1
Good value at a nice location,C-Hotels Burlington,8.3,Belgium,9.0,"One small elevator for all >9 floors,

Friendly staff
Excellent location
Clean",2021,February,Winter,double,leisure trip,couple,1,1
Superb,Apartment Aurora,9.6,United Kingdom,9.2,"One of the apartments had a lot of steep stairs. Not ideal for everyone because of this. otherwise perfect,

apartments ideally located in the centre of town. Well kitted out kitchens with everything there for self catering even though many restaurants locally",2018,October,Autumn,house,leisure trip,group,2,1
Very good,East Time Hotel,8.5,Russia,8.0,There are no comments available for this review,2019,November,Autumn,single,business trip,solo traveller,1,1
Absolute bargain,Groot appartement nabij Brugge met eigen badkamer!,8.1,United Kingdom,10.0,"The apartment is absolutely enormous, host was extremely helpful and communicative.",2020,September,Autumn,apartment,leisure trip,people with friends,1,1
Rxcelkent,Motel One Brussels,8.9,Ireland,10.0,Nithing,2019,March,Spring,double,business trip,solo traveller,1,1
"Good value for money, comfy, and very central",Hotel Koffieboontje,7.5,United Kingdom,9.2,"There was a delay with the check-in process, but they provide a space for luggage which allowed us to walk around and discover the city while they got it sorted out.,

The location of the hotel was absolutely fantastic. No matter where we were going, we ended up running into it, as it was so central. The bed was wonderfully comfortable and our bed was actually a double and not two twins put together. We didn't have the breakfast, but there are plenty of places around for that. I must admit that I was a bit scared when I booked it because I saw some reviews mentioning that it was rather disappointing, but my experience was that it was a great choice.",2019,August,Summer,double,leisure trip,couple,1,1
Could be better...,Motel One Brussels,8.9,Netherlands,6.0,"I am frustrated with them reserving 90% of the night's cost and requiring to pay the full amount at the till. It takes my bank 10 business days to release the funds. This never happened to me before. I think that the thermostat in my room didn't work, but I could freely open the window.,

Clean bathroom, bed size and the personnel is friendly enough. The price is adequate.",2019,December,Winter,other,leisure trip,solo traveller,1,0
Good,Century Hotel Antwerpen Centrum,6.9,Netherlands,7.5,"Didn't like the neighborhood but the hotel can't help that,

A fine hotel for one or two nights. Only spent the night there so I couldn't tell something about the restaurant, but the rooms were clean and tidy. Nice showers. Close to the center.",2018,November,Autumn,family_room,leisure trip,group,1,1
Very good,B&B Casablanca,8.9,United Kingdom,8.3,There are no comments available for this review,2019,April,Spring,double,leisure trip,group,1,1
"Very polite staff, great location and hotel facilities",Thon Hotel Brussels City Centre,8.3,Bulgaria,10.0,"The stay in the hotel was really a very nice experience. The staff was very polite. We arrived at the hotel around 9:30 AM and although the time for check-in is scheduled for 2 PM the receptionist, Radovane, was so polite to give us a room. Great facilities and super great location. I'll choose this hotel again when I visit Brussels in the future.",2018,October,Autumn,twin,leisure trip,couple,4,1
Exceptional,Hotel Ramada Brussels Woluwe,7.1,Netherlands,10.0,There are no comments available for this review,2019,October,Autumn,single,business trip,solo traveller,1,1
Ideal for a low budget stay,Budget Flats Leuven,6.4,Netherlands,6.7,Situated close to parking and city center,2019,January,Winter,twin,leisure trip,couple,1,0
Very good,Van der Valk Hotel Brussels Airport,8.1,Germany,8.3,There are no comments available for this review,2019,April,Spring,twin,business trip,group,1,1
Exceptional,Hotel Minsk,8.6,Russia,10.0,There are no comments available for this review,2020,March,Spring,twin,leisure trip,couple,1,1
Very good,Hotel Burg Hof,8.8,United Kingdom,8.3,There are no comments available for this review,2019,September,Autumn,double,leisure trip,solo traveller,3,1
Superb,B&B La ferme du Château de Broich,9.1,Belgium,9.0,Incredible breakfast! Beautiful landscape & very kind host.,2021,February,Winter,bungalow,leisure trip,group,3,1
Good,nhow Brussels Bloom,8.3,Czech Republic,7.0,There are no comments available for this review,2019,October,Autumn,double,leisure trip,solo traveller,2,0
Superb,Hotel 't Putje,8.0,Ireland,9.2,There are no comments available for this review,2019,November,Autumn,twin,leisure trip,couple,1,1
A good value for money hotel for both business and city breaks.,Motel One Brussels,8.9,Greece,8.8,"Some negative: The breakfast area can be very crowded. The room is small. The cover of the bed is short (for tall guests). No coffee-tea facilities in the room.,

The positive: The lounge and its bar. The check in and the check out. The staff. The location. The cleanliness. The (double) bed comfort. The bathroom was small but well designed (ergonomic). Good breakfast for the price. Overall good value for money.",2018,October,Autumn,double,business trip,solo traveller,2,1
Good hotel great location.,Hotel Monsieur Ernest,8.6,United Kingdom,8.3,"Room was a bit like a bar helper pad. Bit dark, chairs not hugely comfy.,

Location, beds, cleanliness",2019,May,Spring,double,leisure trip,couple,1,1
Exceptional,Sauvenière 1,8.9,Netherlands,10.0,There are no comments available for this review,2020,June,Summer,apartment,leisure trip,people with friends,1,1
Passable,ROXI The Urban Residence Brussels,8.0,Germany,5.0,"The electricity in the room did not work, neither in toilette or the room it self. A person from reception could not support either.,

The room was newly decorated and very clean. All good from that point.",2019,December,Winter,double,business trip,solo traveller,1,0
Great value for a nice price,Smartflats Design - Monnaie,7.8,Netherlands,7.5,Needs a few little touchups but all ok,2018,October,Autumn,apartment,leisure trip,group,2,1
Exceptional,B&B Aux Quatre Bonniers,9.5,United Kingdom,10.0,"bathroom was spacious, but not very practical,

excellent host; great breakfast; the building has character",2019,October,Autumn,double,leisure trip,pet,1,1
"Very good, the disabled parking on the street outside the hotel was a bonus.",Alliance Hotel Ieper Centrum,7.5,United Kingdom,9.6,No hot drink facilities in the bedroom,2019,July,Summer,double,leisure trip,couple,3,1
